Rank,Name,Genre,ESRB_Rating,Publisher,Developer,VGChartz_Score,Critic_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,status,Vgchartzscore,img_url,serial,Platform,url
4.0,PlayerUnknown's Battlegrounds,Shooter,,PUBG Corporation,PUBG Corporation,,,36.6,,,,,2017.0,13th Nov 18,1.0,,/games/boxart/full_8052843AmericaFrontccc.jpg,3458498030,PC,http://www.vgchartz.com/game/215988/playerunknowns-battlegrounds/?region=All
906.0,PlayerUnknown's Battlegrounds,Shooter,T,Microsoft Studios,PUBG Corporation,,,,1.29,0.69,,0.2,2017.0,16th Jan 18,1.0,,/games/boxart/full_8126502AmericaFrontccc.jpg,4837463162,XOne,http://www.vgchartz.com/game/215989/playerunknowns-battlegrounds/?region=All
6315.0,PlayerUnknown's Battlegrounds,Shooter,T,Sony Interactive Entertainment,PUBG Corporation,,,,0.13,0.15,,0.05,2018.0,18th Nov 18,1.0,,/games/boxart/full_2004622AmericaFrontccc.jpg,4275517364,PS4,http://www.vgchartz.com/game/223059/playerunknowns-battlegrounds/?region=All
20.0,Grand Theft Auto V,Action,M,Rockstar Games,Rockstar North,,9.4,,6.37,9.85,0.99,3.12,2013.0,,1.0,,/games/boxart/full_6510540AmericaFrontccc.jpg,7612000280,PS3,http://www.vgchartz.com/game/65884/grand-theft-auto-v/?region=All
21.0,Grand Theft Auto V,Action,M,Rockstar Games,Rockstar North,,9.7,,6.06,9.71,0.6,3.02,2014.0,03rd Jan 18,1.0,,/games/boxart/full_5563178AmericaFrontccc.jpg,7107100479,PS4,http://www.vgchartz.com/game/83196/grand-theft-auto-v/?region=All
33.0,Grand Theft Auto V,Action,M,Rockstar Games,Rockstar North,,,,9.06,5.33,0.06,1.42,2013.0,,1.0,,/games/boxart/full_9218923AmericaFrontccc.jpg,9493671628,X360,http://www.vgchartz.com/game/65883/grand-theft-auto-v/?region=All
61.0,Grand Theft Auto V,Action,M,Rockstar Games,Rockstar North,,,12.6,,,,,2015.0,02nd Nov 18,1.0,,/games/boxart/full_9031276AmericaFrontccc.jpg,8635296110,PC,http://www.vgchartz.com/game/83197/grand-theft-auto-v/?region=All
108.0,Grand Theft Auto V,Action,M,Rockstar Games,Rockstar North,,9.0,,4.7,3.25,0.01,0.76,2014.0,11th Apr 18,1.0,,/games/boxart/full_8047513AmericaFrontccc.jpg,9665394320,XOne,http://www.vgchartz.com/game/73074/grand-theft-auto-v/?region=All
29.0,Pokemon X/Y,Role-Playing,E,Nintendo,Game Freak,,8.9,16.37,,,,,2013.0,06th Jan 18,1.0,,/games/boxart/full_9470074AmericaFrontccc.png,2574378926,3DS,http://www.vgchartz.com/game/71449/pokemon-xy/?region=All
32.0,Pokemon Sun/Moon,Role-Playing,E,Nintendo,Game Freak,,9.0,16.14,,,,,2016.0,03rd Aug 18,1.0,,/games/boxart/full_6532288JapanFrontccc.png,7833542650,3DS,http://www.vgchartz.com/game/91783/pokemon-sunmoon/?region=All
35.0,Call of Duty: Black Ops 3,Shooter,M,Activision,Treyarch,,,,6.18,6.05,0.41,2.44,2015.0,14th Jan 18,1.0,,/games/boxart/full_4990510AmericaFrontccc.jpg,7094594760,PS4,http://www.vgchartz.com/game/85359/call-of-duty-black-ops-3/?region=All
135.0,Call of Duty: Black Ops 3,Shooter,M,Activision,Treyarch,,,,4.63,2.04,0.02,0.68,2015.0,14th Jan 18,1.0,,/games/boxart/full_8414457AmericaFrontccc.jpg,6778399732,XOne,http://www.vgchartz.com/game/85358/call-of-duty-black-ops-3/?region=All
1003.0,Call of Duty: Black Ops 3,Shooter,M,Activision,Treyarch,,,,1.36,0.47,,0.19,2015.0,14th Jan 18,1.0,,/games/boxart/full_2985212AmericaFrontccc.jpg,8989336331,X360,http://www.vgchartz.com/game/85732/call-of-duty-black-ops-3/?region=All
1047.0,Call of Duty: Black Ops 3,Shooter,M,Activision,Treyarch,,,,0.65,0.92,0.07,0.3,2015.0,14th Jan 18,1.0,,/games/boxart/full_860837AmericaFrontccc.jpg,1166184329,PS3,http://www.vgchartz.com/game/85731/call-of-duty-black-ops-3/?region=All
6761.0,Call of Duty: Black Ops 3,Shooter,M,Activision,Treyarch,,,,,0.28,,0.02,2015.0,14th Jan 18,1.0,,/games/boxart/full_4672610PALFrontccc.jpg,2823106387,PC,http://www.vgchartz.com/game/85360/call-of-duty-black-ops-3/?region=All
36.0,Mario Kart 8 Deluxe,Racing,E,Nintendo,Nintendo EPD,,9.3,15.02,,,,,2017.0,19th Nov 18,1.0,,/games/boxart/full_895207AmericaFrontccc.png,8558699547,NS,http://www.vgchartz.com/game/153114/mario-kart-8-deluxe/?region=All
45.0,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,E,Nintendo,Game Freak,,,14.17,,,,,2014.0,03rd Aug 18,1.0,,/games/boxart/full_5184866AmericaFrontccc.png,3973074841,3DS,http://www.vgchartz.com/game/81906/pokemon-omega-rubypokemon-alpha-sapphire/?region=All
46.0,Red Dead Redemption 2,Action-Adventure,M,Rockstar Games,Rockstar Games,,9.8,,5.26,6.21,0.21,2.26,2018.0,02nd Nov 18,1.0,8.0,/games/boxart/full_4653215AmericaFrontccc.jpg,7100604118,PS4,http://www.vgchartz.com/game/140683/red-dead-redemption-2/?region=All
189.0,Red Dead Redemption 2,Action-Adventure,M,Rockstar Games,Rockstar Games,,,,3.76,1.47,,0.54,2018.0,02nd Nov 18,1.0,,/games/boxart/full_1425733AmericaFrontccc.jpg,9697943943,XOne,http://www.vgchartz.com/game/140684/red-dead-redemption-2/?region=All
49.0,Super Mario Odyssey,Platform,E10,Nintendo,Nintendo EPD,,9.9,13.76,,,,,2017.0,19th Nov 18,1.0,,/games/boxart/full_1659701AmericaFrontccc.jpg,7789741108,NS,http://www.vgchartz.com/game/152831/super-mario-odyssey/?region=All
51.0,Call of Duty: WWII,Shooter,M,Activision,Sledgehammer Games,,8.0,,4.67,6.21,0.4,2.12,2017.0,31st Dec 17,1.0,,/games/boxart/full_4380292AmericaFrontccc.jpg,7859839028,PS4,http://www.vgchartz.com/game/170599/call-of-duty-wwii/?region=All
173.0,Call of Duty: WWII,Shooter,M,Activision,Sledgehammer Games,,,,3.75,1.91,,0.57,2017.0,30th Dec 17,1.0,,/games/boxart/full_9289123AmericaFrontccc.jpg,6065600552,XOne,http://www.vgchartz.com/game/170598/call-of-duty-wwii/?region=All
9037.0,Call of Duty: WWII,Shooter,M,Activision,Sledgehammer Games,,,,0.07,0.11,,0.01,2017.0,30th Dec 17,1.0,,/games/boxart/full_9718912AmericaFrontccc.jpg,4658358877,PC,http://www.vgchartz.com/game/170600/call-of-duty-wwii/?region=All
57.0,Minecraft,Misc,E10,Microsoft Studios,Mojang,,,13.0,,,,,2013.0,05th Aug 18,1.0,,/games/boxart/full_7845034AmericaFrontccc.jpg,4366904068,X360,http://www.vgchartz.com/game/51765/minecraft/?region=All
167.0,Minecraft,Misc,E10,Sony Computer Entertainment,Mojang,,9.4,,1.89,3.13,0.35,0.96,2014.0,14th Sep 18,1.0,,/games/boxart/full_6776646AmericaFrontccc.jpg,5436082784,PS4,http://www.vgchartz.com/game/75586/minecraft/?region=All
176.0,Minecraft,Misc,E10,Sony Computer Entertainment America,Mojang,,,,2.21,2.86,,0.99,2014.0,05th Aug 18,1.0,,/games/boxart/full_6168598AmericaFrontccc.jpg,7536950787,PS3,http://www.vgchartz.com/game/75585/minecraft/?region=All
212.0,Minecraft,Misc,E10,Microsoft Studios,Mojang,,,,3.23,1.71,,0.49,2014.0,14th Sep 18,1.0,,/games/boxart/full_739755AmericaFrontccc.jpg,9799750171,XOne,http://www.vgchartz.com/game/73065/minecraft/?region=All
751.0,Minecraft,Misc,E10,Sony Computer Entertainment America,4J Studios,,,,0.22,0.73,1.25,0.27,2014.0,05th Aug 18,1.0,,/games/boxart/full_4134710PALFrontccc.jpg,5697548165,PSV,http://www.vgchartz.com/game/75584/minecraft/?region=All
1089.0,Minecraft,Sandbox,E10,Mojang,4J Studios,,9.2,,0.69,0.56,0.52,0.12,2018.0,26th Jan 19,1.0,,/games/boxart/full_8777882AmericaFrontccc.jpg,2885240944,NS,http://www.vgchartz.com/game/168268/minecraft/?region=All
1529.0,Minecraft,Misc,E10,Mojang,4J Studios,,5.5,,0.5,0.49,0.38,0.09,2016.0,05th Aug 18,1.0,,/games/boxart/full_3850570AmericaFrontccc.png,5862442162,WiiU,http://www.vgchartz.com/game/108803/minecraft/?region=All
5800.0,Minecraft,Misc,E10,Nintendo,Other Ocean Interactive,,6.7,,0.33,,,0.04,2017.0,05th Aug 18,1.0,,/games/boxart/full_8437591AmericaFrontccc.jpeg,8518649303,3DS,http://www.vgchartz.com/game/216017/minecraft/?region=All
