cohort,0,1,2,3,4,5,6,7,8,9,10,11
2020-10-26/2020-11-01,13.0,,,,,,,,,,,
2020-11-02/2020-11-08,242.0,6.0,4.0,4.0,1.0,6.0,1.0,1.0,2.0,1.0,,
2020-11-09/2020-11-15,318.0,8.0,5.0,9.0,8.0,2.0,1.0,2.0,,,,1.0
2020-11-16/2020-11-22,352.0,4.0,8.0,10.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,
2020-11-23/2020-11-29,484.0,9.0,13.0,8.0,5.0,,1.0,,1.0,3.0,,
2020-11-30/2020-12-06,546.0,20.0,4.0,5.0,4.0,5.0,2.0,3.0,1.0,,,
2020-12-07/2020-12-13,680.0,16.0,4.0,3.0,1.0,6.0,3.0,3.0,,,,
2020-12-14/2020-12-20,490.0,9.0,1.0,6.0,2.0,3.0,3.0,,,,,
2020-12-21/2020-12-27,201.0,3.0,,3.0,1.0,2.0,,,,,,
2020-12-28/2021-01-03,120.0,1.0,1.0,1.0,,,,,,,,
2021-01-04/2021-01-10,145.0,3.0,1.0,,,,,,,,,
2021-01-11/2021-01-17,205.0,6.0,4.0,,,,,,,,,
2021-01-18/2021-01-24,347.0,12.0,,,,,,,,,,
2021-01-25/2021-01-31,275.0,,,,,,,,,,,
